time[sec],yaw,pitch,roll,x,y,z,acc_x,acc_y,acc_z,omega_x,omega_y,omega_z
0.0,0.0,0.0,0.0,0.048315798743816,0.0,0.0,0.5005725726992921,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.0,0.0,0.18889148742262454,0.0,0.0,0.49176389765136014,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.14803120466293385,0.0,0.0,0.48990422070192036,0.0,0.0,0.0,0.0,0.0
0.015,0.0,0.0,0.0,0.20952969104935254,0.0,0.0,0.49233685077129696,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,-0.2619128017147567,0.0,0.0,0.5046668208009087,0.0,0.0,0.0,0.0,0.0
0.025,0.0,0.0,0.0,0.28017297583388456,0.0,0.0,0.5172734405082238,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.21726104930083406,0.0,0.0,0.48978005958707976,0.0,0.0,0.0,0.0,0.0
0.035,0.0,0.0,0.0,0.05248730589999161,0.0,0.0,0.5082932609880397,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.16284100656115671,0.0,0.0,0.4900605650597854,0.0,0.0,0.0,0.0,0.0
0.045,0.0,0.0,0.0,-0.3031308671685956,0.0,0.0,0.5060840345938523,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,-0.46121223494950225,0.0,0.0,0.48959771103866406,0.0,0.0,0.0,0.0,0.0
0.055,0.0,0.0,0.0,-0.48632923455756144,0.0,0.0,0.5088599266640154,0.0,0.0,0.0,0.0,0.0
0.06,0.0,0.0,0.0,0.14325261170084072,0.0,0.0,0.4967761730488302,0.0,0.0,0.0,0.0,0.0
0.065,0.0,0.0,0.0,0.01338941316582985,0.0,0.0,0.49532350089717286,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.0,0.6427320295996479,0.0,0.0,0.5097578888712844,0.0,0.0,0.0,0.0,0.0
0.075,0.0,0.0,0.0,0.1335484264853767,0.0,0.0,0.5029286560815978,0.0,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.0,-0.3740764096303793,0.0,0.0,0.4983474433073662,0.0,0.0,0.0,0.0,0.0
0.085,0.0,0.0,0.0,-0.05760517017513187,0.0,0.0,0.49324754598503645,0.0,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.0,0.41842146608850617,0.0,0.0,0.5029106487017205,0.0,0.0,0.0,0.0,0.0
0.095,0.0,0.0,0.0,-0.4837766574969135,0.0,0.0,0.491457071118616,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.49345053693987223,0.0,0.0,0.5116328674000516,0.0,0.0,0.0,0.0,0.0
0.105,0.0,0.0,0.0,0.31834252430004345,0.0,0.0,0.4865304628538976,0.0,0.0,0.0,0.0,0.0
0.11,0.0,0.0,0.0,0.3265849488589071,0.0,0.0,0.504251204839496,0.0,0.0,0.0,0.0,0.0
0.115,0.0,0.0,0.0,0.1388272488503598,0.0,0.0,0.511295919931274,0.0,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.0,0.39081730502264705,0.0,0.0,0.494624415774844,0.0,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.3273669857756499,0.0,0.0,0.510775741027237,0.0,0.0,0.0,0.0,0.0
0.13,0.0,0.0,0.0,-0.07223671350905539,0.0,0.0,0.4879539602012389,0.0,0.0,0.0,0.0,0.0
0.135,0.0,0.0,0.0,-0.2385536350326932,0.0,0.0,0.4981858225916589,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.2879157628922596,0.0,0.0,0.5105399972181861,0.0,0.0,0.0,0.0,0.0
0.145,0.0,0.0,0.0,0.2522408632376049,0.0,0.0,0.4872591932447268,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.5452829420600583,0.0,0.0,0.5030213437778199,0.0,0.0,0.0,0.0,0.0
0.155,0.0,0.0,0.0,-0.04047090050183098,0.0,0.0,0.49338740115535523,0.0,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.0,0.08474939148520792,0.0,0.0,0.5130110144772826,0.0,0.0,0.0,0.0,0.0
0.165,0.0,0.0,0.0,-0.32718259463722976,0.0,0.0,0.4843503205462514,0.0,0.0,0.0,0.0,0.0
0.17,0.0,0.0,0.0,-0.08984903827832717,0.0,0.0,0.49483881207730507,0.0,0.0,0.0,0.0,0.0
0.17500000000000002,0.0,0.0,0.0,0.08122964324592843,0.0,0.0,0.514088999282966,0.0,0.0,0.0,0.0,0.0
0.18,0.0,0.0,0.0,0.30145764737806624,0.0,0.0,0.48736867796117667,0.0,0.0,0.0,0.0,0.0
0.185,0.0,0.0,0.0,0.21318296854095242,0.0,0.0,0.4739401230519379,0.0,0.0,0.0,0.0,0.0
0.19,0.0,0.0,0.0,-0.2920800294739261,0.0,0.0,0.49641091690413963,0.0,0.0,0.0,0.0,0.0
0.195,0.0,0.0,0.0,-0.18989319569540217,0.0,0.0,0.49624704703263645,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.06927587925049883,0.0,0.0,0.504497049550215,0.0,0.0,0.0,0.0,0.0
0.20500000000000002,0.0,0.0,0.0,-0.056738868566495224,0.0,0.0,0.5027378584301133,0.0,0.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,0.5002998984408497,0.0,0.0,0.49402275624232767,0.0,0.0,0.0,0.0,0.0
0.215,0.0,0.0,0.0,0.2947837076920111,0.0,0.0,0.48489178528935806,0.0,0.0,0.0,0.0,0.0
0.22,0.0,0.0,0.0,0.07524210822852065,0.0,0.0,0.4849637499498861,0.0,0.0,0.0,0.0,0.0
0.225,0.0,0.0,0.0,-0.10813343972365765,0.0,0.0,0.5052191954624229,0.0,0.0,0.0,0.0,0.0
0.23,0.0,0.0,0.0,0.0111525727751541,0.0,0.0,0.5125101244853759,0.0,0.0,0.0,0.0,0.0
0.23500000000000001,0.0,0.0,0.0,-0.052357268726133104,0.0,0.0,0.5064159371925233,0.0,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.0,-0.1735288234589658,0.0,0.0,0.495932275168548,0.0,0.0,0.0,0.0,0.0
0.245,0.0,0.0,0.0,0.022848777973209396,0.0,0.0,0.4974208251473053,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.025900465887952147,0.0,0.0,0.49908920103164994,0.0,0.0,0.0,0.0,0.0
0.255,0.0,0.0,0.0,-0.29824123031955707,0.0,0.0,0.4854016522432629,0.0,0.0,0.0,0.0,0.0
0.26,0.0,0.0,0.0,0.24307314155998594,0.0,0.0,0.49972475943386624,0.0,0.0,0.0,0.0,0.0
0.265,0.0,0.0,0.0,0.31629118658243005,0.0,0.0,0.4970614508750083,0.0,0.0,0.0,0.0,0.0
0.27,0.0,0.0,0.0,0.003468711849750939,0.0,0.0,0.5012297004309583,0.0,0.0,0.0,0.0,0.0
0.275,0.0,0.0,0.0,-0.14258671490940314,0.0,0.0,0.49847867433671716,0.0,0.0,0.0,0.0,0.0
0.28,0.0,0.0,0.0,0.35991731340611705,0.0,0.0,0.4996845929543574,0.0,0.0,0.0,0.0,0.0
0.28500000000000003,0.0,0.0,0.0,-0.014181864937377449,0.0,0.0,0.4960528469909062,0.0,0.0,0.0,0.0,0.0
0.29,0.0,0.0,0.0,-0.003027454627365759,0.0,0.0,0.5033540014512421,0.0,0.0,0.0,0.0,0.0
0.295,0.0,0.0,0.0,0.03450250764291594,0.0,0.0,0.49615303230158264,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.21993933168773078,0.0,0.0,0.49470595365847575,0.0,0.0,0.0,0.0,0.0
0.305,0.0,0.0,0.0,-0.03720806413312676,0.0,0.0,0.5019448483511965,0.0,0.0,0.0,0.0,0.0
0.31,0.0,0.0,0.0,0.6868604810036031,0.0,0.0,0.4901262554568085,0.0,0.0,0.0,0.0,0.0
0.315,0.0,0.0,0.0,0.5139450179486209,0.0,0.0,0.5090504663762911,0.0,0.0,0.0,0.0,0.0
0.32,0.0,0.0,0.0,-0.048449789338239437,0.0,0.0,0.5030774344357017,0.0,0.0,0.0,0.0,0.0
0.325,0.0,0.0,0.0,0.33100259871609533,0.0,0.0,0.4988016258916334,0.0,0.0,0.0,0.0,0.0
0.33,0.0,0.0,0.0,-0.27477819161742845,0.0,0.0,0.49782241420634443,0.0,0.0,0.0,0.0,0.0
0.335,0.0,0.0,0.0,0.36347143595416886,0.0,0.0,0.5076753421350192,0.0,0.0,0.0,0.0,0.0
0.34,0.0,0.0,0.0,0.36061230737793865,0.0,0.0,0.5089021157697134,0.0,0.0,0.0,0.0,0.0
0.34500000000000003,0.0,0.0,0.0,0.5288556577385545,0.0,0.0,0.5103063385242826,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0,0.3694782751516852,0.0,0.0,0.5086297324829016,0.0,0.0,0.0,0.0,0.0
0.355,0.0,0.0,0.0,0.07563784396869644,0.0,0.0,0.5000165947987784,0.0,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.0,0.38775751871327874,0.0,0.0,0.5091036321755262,0.0,0.0,0.0,0.0,0.0
0.365,0.0,0.0,0.0,-0.009771983177910372,0.0,0.0,0.5103116616096256,0.0,0.0,0.0,0.0,0.0
0.37,0.0,0.0,0.0,-0.020306696564018338,0.0,0.0,0.5053970406384743,0.0,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,-0.3324970924440209,0.0,0.0,0.4917867179515553,0.0,0.0,0.0,0.0,0.0
0.38,0.0,0.0,0.0,0.007299101406775036,0.0,0.0,0.5093709541739136,0.0,0.0,0.0,0.0,0.0
0.385,0.0,0.0,0.0,-0.06419853262961152,0.0,0.0,0.4958776338908332,0.0,0.0,0.0,0.0,0.0
0.39,0.0,0.0,0.0,-0.029724892243778698,0.0,0.0,0.48000519644939793,0.0,0.0,0.0,0.0,0.0
0.395,0.0,0.0,0.0,-0.4534317556757433,0.0,0.0,0.48554642304372275,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,-0.6354227247739542,0.0,0.0,0.49845461279165804,0.0,0.0,0.0,0.0,0.0
0.405,0.0,0.0,0.0,-0.36519446731770505,0.0,0.0,0.4963297297418,0.0,0.0,0.0,0.0,0.0
0.41000000000000003,0.0,0.0,0.0,-0.3518397628131349,0.0,0.0,0.5074359844349025,0.0,0.0,0.0,0.0,0.0
0.41500000000000004,0.0,0.0,0.0,-0.3174583403233642,0.0,0.0,0.5080555665166928,0.0,0.0,0.0,0.0,0.0
0.42,0.0,0.0,0.0,0.07442034196679921,0.0,0.0,0.48377176606371713,0.0,0.0,0.0,0.0,0.0
0.425,0.0,0.0,0.0,-0.071075362448056,0.0,0.0,0.4910318483066173,0.0,0.0,0.0,0.0,0.0
